"GeneID","logFC","logCPM","F","PValue","FDR","Expression"
"AT4G16240",4.39601202099336,8.32093996896632,67.2732067977918,2.89067865210898e-16,8.3179278214436e-12,"Up-regulated (Royal CBDV)"
"AT3G20470",2.91084298650416,9.97953316425399,44.1647408634141,3.74042541798068e-11,5.3815370701197e-07,"Up-regulated (Royal CBDV)"
"AT4G27450",-3.4369026517423,6.70619820856381,40.2280590607822,2.3088329461923e-10,2.21455560088944e-06,"Down-regulated (Solomatic)"
"AT3G05880",-2.40463955863824,11.4659512663673,34.8625511508542,3.54479805489578e-09,2.55003910074065e-05,"Down-regulated (Solomatic)"
"AT3G15450",-2.6153205151431,8.83912056456679,33.7041375600514,6.66151015733294e-09,3.83369909554511e-05,"Down-regulated (Solomatic)"
"AT2G33830",-2.37328850124806,10.3392374327421,32.1622607358209,1.44301118518674e-08,6.92044114229142e-05,"Down-regulated (Solomatic)"
"AT3G23450",2.38775222450213,9.19241959276363,29.48431889855,5.64467022995702e-08,0.000232036265524305,"Up-regulated (Royal CBDV)"
"AT5G58100",-2.48793941046143,8.23979880984713,29.3348571131277,6.67660707853804e-08,0.000240149210856165,"Down-regulated (Solomatic)"
"AT5G46730",2.46172975206422,8.41222597476447,28.3609883530759,1.03217019293278e-07,0.000313087820045327,"Up-regulated (Royal CBDV)"
"AT4G09320",2.13843158484769,11.5716062034162,28.2130143053201,1.08805497843728e-07,0.000313087820045327,"Up-regulated (Royal CBDV)"
"AT2G40205",2.74724594803036,7.36269757121302,27.9222913555416,1.2643919027798e-07,0.000315686816427134,"Up-regulated (Royal CBDV)"
"AT1G08580",2.83426852006371,7.13146799370689,27.8451772893574,1.31650453418787e-07,0.000315686816427134,"Up-regulated (Royal CBDV)"
"AT1G52342",-2.59422936629413,7.21486692469557,27.0186842061077,2.01726951427892e-07,0.000446514848256737,"Down-regulated (Solomatic)"
"AT2G47770",3.22057331753677,6.5798281885,27.3063705557913,2.19198666228092e-07,0.000450531544336668,"Up-regulated (Royal CBDV)"
"AT1G63170",-2.35013816983944,8.09823440842677,26.2216016580924,3.05102084726355e-07,0.000571603246967823,"Down-regulated (Solomatic)"
"AT2G42560",10.1291976909262,5.69032487398589,30.235429656615,3.17833256350484e-07,0.000571603246967823,"Up-regulated (Royal CBDV)"
"AT3G47340",-2.58443359063227,7.53310102558386,26.6330449541608,4.6741483061791e-07,0.000791168338295904,"Down-regulated (Solomatic)"
"AT5G49360",-2.57071693984037,6.64809566933282,24.2319259874976,8.55769965919676e-07,0.00136804337607437,"Down-regulated (Solomatic)"
"AT3G07450",-6.98521140307103,1.94461413809409,22.4073350203964,2.20766875730256e-06,0.00334345623638848,"Down-regulated (Solomatic)"
"AT2G40170",4.27371104344787,5.42968749369918,21.9822680776854,2.76103856993134e-06,0.00397244424248871,"Up-regulated (Royal CBDV)"
"AT4G18280",2.52046389461929,6.86175959648672,21.3483648967662,4.04191846728325e-06,0.00553839066171789,"Up-regulated (Royal CBDV)"
"AT5G64610",-2.46367699386734,6.61466282635409,20.8784089350317,4.9261804841614e-06,0.00644322015598838,"Down-regulated (Solomatic)"
"AT3G48360",-2.42383851111452,6.55657760769606,20.155336903323,7.15178037205118e-06,0.00894749913938142,"Down-regulated (Solomatic)"
"AT4G15910",2.47225112509917,6.75241974936362,20.0020699330039,7.74076078263392e-06,0.00920322442781944,"Up-regulated (Royal CBDV)"
"AT2G47690",-2.07848654592891,7.62976375028345,19.9400683838134,7.99585093642002e-06,0.00920322442781944,"Down-regulated (Solomatic)"
"AT4G27410",2.73062072928391,6.26189009593335,19.5685678549738,9.71794282485838e-06,0.00993223365869781,"Up-regulated (Royal CBDV)"
"AT5G66170",-2.22337296144185,6.81861584105338,19.5160813886037,9.99442668217301e-06,0.00993223365869781,"Down-regulated (Solomatic)"
"AT5G59220",2.75341961466513,6.26674269403744,19.6275439570902,1.03071020976483e-05,0.00993223365869781,"Up-regulated (Royal CBDV)"
"AT5G42230",-5.37413975929114,1.50772809084592,21.6286756712976,1.0355064641778e-05,0.00993223365869781,"Down-regulated (Solomatic)"
"AT1G66850",-5.40946999628661,1.51518887255479,21.5079995652464,1.03550654999456e-05,0.00993223365869781,"Down-regulated (Solomatic)"
"AT2G05510",1.88033754672466,9.21016849964208,19.1775078149727,1.1917852990386e-05,0.0110624587031729,"Up-regulated (Royal CBDV)"
"AT4G22485",3.72299792837127,5.41592234595984,18.8770961370741,1.39496000138034e-05,0.0125437418874123,"Up-regulated (Royal CBDV)"
"AT2G20870",-4.10354282193591,4.13261552739643,18.5841068488938,1.62660178799038e-05,0.0140972974007788,"Down-regulated (Solomatic)"
"AT2G46390",1.82060633897563,9.52366769583261,18.538813639615,1.66571020547864e-05,0.0140972974007788,"Up-regulated (Royal CBDV)"
"AT3G05727",2.19806525409,7.11852982257491,18.3723844213415,1.81770315882844e-05,0.0145670660172269,"Up-regulated (Royal CBDV)"
"AT4G13350",3.39977528580293,5.51968131257489,18.2845285438875,1.90348014406427e-05,0.0145670660172269,"Up-regulated (Royal CBDV)"
"AT4G15740",-6.02727185033578,1.22389709511761,43.3476337060803,1.92371332286576e-05,0.0145670660172269,"Down-regulated (Solomatic)"
"AT5G02730",-6.02727185033578,1.22389709511761,43.3476337060803,1.92371332286576e-05,0.0145670660172269,"Down-regulated (Solomatic)"
"AT5G44575",1.81229800318767,9.31504590235461,17.9950881574138,2.21590894762896e-05,0.0163494307610316,"Up-regulated (Royal CBDV)"
"AT1G32210",2.07477396650004,7.47039541554807,17.8802266646687,2.35373612636936e-05,0.0169321892590696,"Up-regulated (Royal CBDV)"
"AT4G14440",2.73809524814751,6.02700637695496,17.6277997903168,2.68767042072399e-05,0.018862857647886,"Up-regulated (Royal CBDV)"
"AT3G13750",-1.91355454809156,7.99600625793663,17.5289142535086,2.83111469946353e-05,0.0193965060659674,"Down-regulated (Solomatic)"
"AT1G52827",2.97157575436332,5.71367910569267,17.2269379856562,3.31858318820171e-05,0.0222074956373266,"Up-regulated (Royal CBDV)"
"AT3G11630",-1.66104701259391,10.8492367942662,17.026097828562,3.68868213636236e-05,0.023579130441917,"Down-regulated (Solomatic)"
"AT2G15890",-1.86211342511955,8.08242050805806,16.9902638313527,3.75895105739881e-05,0.023579130441917,"Down-regulated (Solomatic)"
