"GeneID","logFC","logCPM","F","PValue","FDR"
"AT3G01500",3.38969284910295,9.47405422198583,61.1695819185552,5.28054217786677e-15,7.59738005840581e-11
"AT4G26530",3.32076697794566,8.7779574522866,52.9965312816821,3.362586513529e-13,3.2252808975599e-09
"AT5G14740",2.84760994953157,9.75226459121381,47.2422790257985,6.30501802690008e-12,4.53567234310125e-08
"AT2G45180",2.67021337504011,10.1662757084164,43.8586994736201,3.54503080427203e-11,1.71258206982752e-07
"AT3G27690",2.81442466126201,9.21395268628935,43.4871058823382,4.33427122754088e-11,1.71258206982752e-07
"AT5G49730",4.0670660641336,6.90575030464635,43.2881727617191,4.76130549387322e-11,1.71258206982752e-07
"AT2G05440",2.70775911938849,9.85329774043585,41.9821437154422,1.66022713359093e-10,4.77730357690789e-07
"AT2G27385",2.72612039851257,8.60762701365063,37.8798831590728,7.54841374456252e-10,1.81004671249822e-06
"AT5G02160",3.01946118658619,7.43932396900028,33.2057487937432,1.02661523871339e-08,1.84630334337361e-05
"AT3G15450",2.99521513553647,7.27640607037053,31.0904894749193,2.51361755965077e-08,3.80680764626058e-05
"AT1G74670",3.73821795255025,6.41125007419244,30.8225506772778,2.83354507281685e-08,3.88263140334785e-05
"AT4G36040",2.40366415248155,8.56852036696577,30.2086056081318,3.88804117888256e-08,5.08538113283389e-05
"AT5G38410",1.96201261027713,12.1481577098277,29.2576091300757,6.34927642327337e-08,7.30801716318765e-05
"AT1G71030",3.00642488138669,6.98795072661958,29.0232564480472,7.16544264623259e-08,7.93021585174395e-05
"AT3G47470",1.90878996264549,12.5417426579981,28.4724667959596,9.52195510065865e-08,9.78550921505188e-05
"AT2G14247",5.26812294942834,5.61081147062704,28.305742097745,1.03781232922661e-07,0.000100041602252321
"AT5G09660",2.28052745733238,8.76118368589892,28.2605838524402,1.06230196910812e-07,0.000100041602252321
"AT5G21940",3.150239183192,6.73992863912238,28.2325916008457,1.0777722571058e-07,0.000100041602252321
"AT2G25900",4.02885600073399,5.97256447035587,27.4589930594861,1.60742833932276e-07,0.000144279313838844
"AT5G22920",4.66145576432469,5.69113737631842,27.4030013713702,1.6546367877261e-07,0.000144279313838844
"AT5G20250",3.01312426755144,6.60155417345475,24.5667182140603,7.19385323595095e-07,0.000559467910444564
"AT2G15890",3.03551733888842,6.56879665013184,24.4416517593755,7.72109399258277e-07,0.000582256675686471
"AT1G52342",3.12764596042037,6.42747402619388,24.6997401978859,7.89157614310074e-07,0.000582256675686471
"AT1G67090",1.69931503499802,13.5975844844898,24.2036820008858,8.67857465849464e-07,0.000624314964495458
"AT2G40610",3.00996931398881,6.50313201236005,23.9951404570417,9.67099151733109e-07,0.000667906829304606
"AT1G08380",1.74668809835403,12.3664334011781,23.8425367299402,1.04686253256082e-06,0.000700545799405527
"AT1G12900",1.91788241576035,9.49594283700469,22.5215117089188,2.08052497050503e-06,0.00127376821332515
"AT4G17340",1.97840368527315,8.87534457674634,22.3301204815292,2.29847973638235e-06,0.00137789071696671
"AT3G13750",2.2648059125501,7.62010077348077,21.9700105931654,2.78126619846847e-06,0.00163328438491694
"AT5G21430",2.93771394109037,6.41988286706698,21.8824349816869,2.90203890640168e-06,0.00163944836719218
"AT3G47160",4.93796077251773,5.27671892676103,21.8800071910189,2.90571213646572e-06,0.00163944836719218
"AT1G49500",2.2094730583823,7.72787745814535,21.7734048831092,3.07882177198954e-06,0.001671567858283
"AT2G01530",3.76747654140604,5.68243163784259,21.6725644617313,3.23743463562555e-06,0.00172513299333565
"AT1G31580",1.92501014030218,9.03683108549211,21.4891401007671,3.56227881861995e-06,0.00186371950919617
"AT5G49360",3.09458475303063,6.14074400522522,21.3936190996408,3.7497221176173e-06,0.00192675453454353
"AT4G38770",1.88362017043359,9.14737163483684,21.0054719659893,4.58453669637094e-06,0.00231438672698375
"AT3G47340",2.39207351858608,7.35079758204854,21.2583652715388,5.3893288362441e-06,0.00263258892862311
"AT1G75380",2.88165567262342,6.32221898915287,20.6709039814177,5.45939340126061e-06,0.00263258892862311
"AT2G39730",1.70872958146038,10.9112160080759,20.6615673170028,5.48932530729407e-06,0.00263258892862311
"AT3G08940",1.73233488775601,10.5713344147486,20.593888866383,5.68343801031144e-06,0.00268099883191331
"AT2G29310",2.5678567685583,6.75390590485637,20.536066502653,5.85769470524228e-06,0.00271735575582285
"AT3G22210",3.05802508080766,6.06467954426964,20.3651353697749,6.40834521277821e-06,0.00287259314645202
"AT5G38420",1.79677411584121,9.67648330029214,20.3157049144907,6.57240080616228e-06,0.00287259314645202
"AT1G67740",2.03944704676241,8.07898947371427,20.320381002986,6.58874535763104e-06,0.00287259314645202
"AT5G43350",2.22821877219205,7.41762657881146,20.1921996518748,7.01060330104494e-06,0.00301089716399356
"AT2G20670",2.67308818977962,6.50353410370825,20.0584678218241,7.51823091595997e-06,0.00316217457065591
